genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,Title
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,26349,2,9,0.19415115,0.1521487,0.14334753,0.19668310880661,2.77753782272339,9,3885.09890136719,578.723361206055,2,0,0,2,803.73609375,4.4253125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,12864,2,1,0.14238389,0.14011964,0.09257361,0.19668310880661,2.77753782272339,1,372.62261505127,3479.30234375,207,0,0,207,904.389375,62.0446875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,6894,4,1,0.11291322,0.08343951,0.082896516,0.19668310880661,2.77753782272339,22,1893.68918457031,3146.55535888672,355,0,0,355,822.70171875,33.82203125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,7703,12,2,0.17148572,0.12031532,0.10805707,0.19668310880661,2.77753782272339,3,4812.23640136719,765.950335693359,273,0,0,273,683.71078125,11.96640625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10694,12,2,0.17623116,0.12010863,0.11074646,0.19668310880661,2.77753782272339,5,515.322253417969,3039.09593505859,243,0,0,243,958.35109375,37.750625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,25689,2,4,0.12614526,0.11212658,0.0995032,0.19668310880661,2.77753782272339,1,1014.30255126953,2960.69215087891,367,0,0,367,459.01328125,46.1496875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,24786,2,7,0.14594683,0.13272206,0.10582511,0.19668310880661,2.77753782272339,4,1223.13796386719,3322.82410888672,312,0,0,312,484.075,7.225,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,2501,2,11,0.11490719,0.10454013,0.096183345,0.19668310880661,2.77753782272339,14,3311.76580810547,2601.46007080078,159,0,0,159,484.3459375,25.7390625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,24435,1,5,0.11914302,0.098839365,0.07925907,0.19668310880661,2.77753782272339,6,5092.44753417969,876.309014892578,351,0,0,351,589.78578125,24.79078125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,769,2,1,0.13568573,0.086279176,0.08263992,0.19668310880661,2.77753782272339,1,4615.68676757813,843.81296081543,156,0,0,156,574.929375,11.60515625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,24774,2,4,0.10758097,0.10394144,0.08096112,0.19668310880661,2.77753782272339,4,1169.68217773438,3315.02303466797,349,0,0,349,566.57546875,42.085625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,17400,2,4,0.11457337,0.109695695,0.097632945,0.19668310880661,2.77753782272339,14,4281.34582519531,2586.19410400391,168,0,0,168,367.39125,6.81859375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,731,12,1,0.11681004,0.10399931,0.09243517,0.19668310880661,2.77753782272339,5,4637.46594238281,851.765057373047,229,0,0,229,782.286875,26.2809375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,26515,5,1,0.11598432,0.102027,0.09526023,0.19668310880661,2.77753782272339,12,5380.15385742188,2149.37877197266,154,0,0,154,441.22171875,14.85640625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,8581,1,11,0.13848014,0.10287839,0.08321888,0.19668310880661,2.77753782272339,2,1690.70924682617,3443.34169921875,125,1,0,126,524.2640625,24.24890625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,9619,1,4,0.12163145,0.08462648,0.07387716,0.19668310880661,2.77753782272339,15,4309.26591796875,1031.90757446289,242,0,0,242,404.64515625,15.75953125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,26578,12,2,0.18864603,0.15762305,0.13984713,0.19668310880661,2.77753782272339,21,5384.66118164063,2019.115234375,177,1,0,178,559.80203125,28.04203125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,20272,2,1,0.10240286,0.090978935,0.07454402,0.19668310880661,2.77753782272339,28,3123.52110595703,2662.81114501953,179,0,0,179,794.8403125,12.68890625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,2494,5,1,0.09248819,0.08350737,0.07883999,0.19668310880661,2.77753782272339,1,3310.42730712891,2573.3119140625,214,0,0,214,591.86296875,8.30875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10345,2,4,0.124758445,0.10729921,0.09895458,0.19668310880661,2.77753782272339,8,804.133255004883,3213.60720214844,354,1,0,356,648.94046875,33.09953125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10739,2,12,0.16169788,0.13036849,0.11756368,0.19668310880661,2.77753782272339,3,493.251202392578,3190.36480712891,171,0,0,172,724.08046875,33.6865625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,16770,2,12,0.14146997,0.13806431,0.13038224,0.19668310880661,2.77753782272339,1,4384.93583984375,2687.74523925781,210,0,0,210,587.934375,30.75140625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,20260,12,2,0.1509165,0.14932738,0.13676749,0.19668310880661,2.77753782272339,14,3031.30461425781,2806.6169921875,492,0,0,492,1099.645,48.949375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,26465,12,1,0.19483207,0.16385642,0.082096696,0.19668310880661,2.77753782272339,12,3471.40809326172,646.816174316406,73,0,0,73,959.7509375,22.8490625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,29979,11,1,0.15954867,0.110637255,0.10602524,0.19668310880661,2.77753782272339,18,5391.38522949219,2593.82189941406,227,0,0,227,628.07828125,22.3071875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,32267,2,4,0.096262716,0.09194237,0.086555004,0.19668310880661,2.77753782272339,4,3491.78173828125,1765.66623535156,247,0,0,248,330.04703125,35.76375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,350,2,12,0.16096753,0.15361801,0.14540169,0.19668310880661,2.77753782272339,20,3805.609375,3384.38415527344,203,1,0,204,399.22640625,26.1003125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,17562,2,13,0.14756404,0.13322651,0.07408629,0.19668310880661,2.77753782272339,4,3190.55759277344,2038.35084228516,88,0,0,88,134.8365625,13.9984375,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,18340,4,2,0.1959054,0.113595285,0.07843206,0.19668310880661,2.77753782272339,4,3108.86317138672,1826.21358642578,416,0,0,418,315.913125,67.1925,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14719,13,2,0.38030854,0.16696832,0.05273725,0.19668310880661,2.77753782272339,13,4861.58911132813,3086.40520019531,376,0,0,376,221.67203125,81.68765625,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30505,13,9,0.33607262,0.3170871,0.051709536,0.19668310880661,2.77753782272339,13,4977.44145507813,3087.15870361328,78,0,0,78,55.67765625,16.48203125,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,19134,2,13,0.16182905,0.117378205,0.09367781,0.19668310880661,2.77753782272339,4,2510.17492675781,2143.05399169922,51,0,0,51,64.9346875,12.50828125,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15203,9,13,0.3089927,0.18647152,0.17906988,0.19668310880661,2.77753782272339,17,4837.04038085938,2685.1234375,172,0,0,172,124.49578125,40.86640625,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,23776,13,2,0.20963022,0.18958566,0.095933184,0.19668310880661,2.77753782272339,23,5225.96228027344,1630.13159790039,130,0,0,130,75.09484375,7.72171875,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,2118,13,9,0.31284794,0.10850916,0.07149149,0.19668310880661,2.77753782272339,17,4965.73569335938,2796.17896728516,130,0,0,130,153.75703125,34.68,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,19424,1,9,0.22262463,0.09450621,0.092908934,0.19668310880661,2.77753782272339,11,4754.79084472656,3440.98842773438,85,0,0,85,80.42328125,35.89921875,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,32791,4,2,0.21661696,0.0991068,0.096754245,0.19668310880661,2.77753782272339,27,3351.20178222656,1781.96710205078,447,0,0,447,269.2215625,65.70234375,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16064,2,13,0.17780724,0.10286067,0.08373126,0.19668310880661,2.77753782272339,13,4800.36877441406,3037.02966308594,86,0,0,86,72.20484375,23.9328125,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,12137,13,10,0.26777542,0.13772364,0.083766975,0.19668310880661,2.77753782272339,10,4694.61101074219,1940.06502685547,226,0,0,227,87.37734375,54.50359375,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5557,2,4,0.25996962,0.13617477,0.1061882,0.19668310880661,2.77753782272339,9,2418.51604003906,3090.74401855469,257,0,0,258,211.73765625,51.9296875,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,21370,2,13,0.17836945,0.13561569,0.11544298,0.19668310880661,2.77753782272339,2,2867.99027099609,3327.45718994141,68,1,0,69,212.09890625,9.43765625,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,Cnn Model With Raw Data and Whole Split
